,titles,category
106,친구의 '1300만원 금목걸이' 탐나서..수면제 탄 음료 건네고 '슬쩍',Social
107,'사업 선정 청탁' 공무원에게 돈가방 전달…前 경기도의원 '집유',Social
108,"'배달라이더' 최저임금 논의 시작…""권리"" vs ""일자리 감소""",Social
109,출소 직후 또 '우편함 열쇠' 노려 상가 턴 20대 구속영장,Social
110,초유의 투표지 부족 사태...이틀째 시위 계속,Social
111,"'외신에 계엄 정당화' 전 외교부 부대변인, 징계 불복 소송 시작",Social
112,"의대 정원 늘고, 현행 체제 마지막 수능…6월 모평 N수생 비율 최고",Social
113,"'계엄 옹호 자료→감봉' 외교부 전 부대변인…법정서 ""징계 부당""",Social
114,[단독]'경영진 성범죄' 폭로하자…'10억원' 소송 건 성인화보제작사,Social
115,‘한 번 더 박완수’ 기회 준 경남도민…정권 견제·안정감 선택,Social
116,"허태정 대전시장 당선인, 거리서 감사 인사…""끝 아닌 시작""",Social
117,'얼죽민'과 '빙다리 핫바지',Social
118,"김관영 ""42% 민심 정청래 세력 심판…8월 전당대회 첫 무대""",Social
119,"“6월모평, 작년수능보다 쉬워” vs “그래도 어려워”…EBS 연계율 55.6%",Social
120,"민주당, 전남 텃밭 지켰지만…흔들린 '공천=당선' 공식",Social
121,안 따라온다고 나뭇가지로 '퍽퍽'…광주 거리서 포착된 동물학대,Social
122,"[기자수첩]'관료' 추경호, 이젠 무릎 꿇고 예산 따올 때다",Social
123,오세훈 5선 성공했지만…서울시의회·구청장은 민주당 장악,Social
124,5선 오세훈 “논의 열어두겠다”…TBS 정상화 가능할까,Social
125,"한동훈 ""보수 퇴행 극복하라는 국민 명령…북구 삶 바꾸겠다""",Social
126,“울타리 추가 설치로 탈출 불가능”…대전오월드 5일부터 늑구 본다,Social
127,"“노태악은 범죄자다”…부정선거 시위대, 선관위 차량 막아 세우고 자체 검문도",Social
128,"'국민늑대' 늑구, 탈출 전보다 살찌고 건강…5일 만날 준비 끝",Social
129,꺼지지 않은 담배꽁초 '휙'…도 넘은 무단 투기에 주민들 '눈살'(영상),Social
130,창원이 최대 승부처였다…국힘 박완수·강기윤 동반 승리,Social
131,선거무효소송까지 나온 ‘투표지 부족 사태’…국가 상대 소송 불씨는 남았다 [세상&],Social
132,충청 교육지형 ‘3 대 1’ 보수 우위 재편… 세종 전교조 권력 종식·충남 ‘진보’ 유지,Social
133,"[단독] 법원, '승부조작' 축구 심판 영구정지 징계무효 선고...""절차상 하자""",Social
134,'좀 수상한데?'…택시기사 신고로 '1억4000만원' 사기 피해 막았다,Social
135,"'진보' 정근식, 서울시 교육감 당선…재선 성공(종합2보)",Social
136,롤스로이스도 못 비빈다…사고 나면 무서운 ‘이 차’,Social
137,인천 군수·구청장 선거서 민주당 압승…11곳 중 8곳 당선 ,Social
138,"뺨 때리고, 머리채 쥐고…'노동자 폭행' 섬유공장 대표가 구속기로에 남긴 말",Social
139,"'부정선거' 모스 탄, 출국정지 유지...선거사범 무더기 적발",Social
140,"[티조AI] ""부탁 아니다, 명령 들어라""…선관위 직원, 동료 공무원 '잡부' 취급까지?",Social
141,"학교 복도에서 흉기 휘두른 고교생...""동급생 어깨 다쳐 병원행""",Social
142,"종합특검, 김용현·이상민 첫 소환 조사…홍장원 11일 소환 예정",Social
143,"강원 권력지형 뒤집혔다…민주당, 도지사 탈환·'빅3 도시' 석권",Social
144,득표 수 같았지만 ‘연장자’라 당선 [이색 당선인],Social
145,진보·보수 교육감 모두 “기초학력·마음건강 강화”…수월성 교육은 갈려,Social
146,"'단 1표 차 낙선' 충남도의원 후보 ""주민 선택 존중""… 깨끗한 승복",Social
147,"'견제와 균형', 안동의 민심 무서웠다",Social
148,예천군의회 지각변동 오나?…보수진형 사상 첫 과반 확보 실패,Social
149,"조개 캐다 갯벌에 '푹푹' 하반신까지, 곧 밀물…2명 구조",Social
150,"김관영 ""지선 '전북도민-정청래 지도부' 대결…민주 전당대회서 심판""",Social
151,오세훈 이겼지만 시의회 '민주당 과반석'...협치가 '최대 변수',Social
152,우상호 당선인 “강원도 사는 것이 자부심 되게 하겠다”,Social
153,"의원급 수가 협상 결렬에…의협 ""일차 의료 외면""",Social
154,"부산경찰 선거사범 총 280명 적발 2명 구속, 53명 송치",Social
155,당선인 축하 현수막 설치하던 70대 사다리서 추락…의식불명,Social
156,‘당선 축하’ 현수막 설치 중 추락사고…70대 중태,Social
157,"평가원장 사퇴 부른 수능 영어…“6월 모평, 쉬웠지만 변별력 확보”",Social
158,'집단 입당 의혹' 신천지 이만희 총회장 합수본 첫 출석,Social
159,'푸른 바람' 휩쓴 경기도…국힘 일꾼들 '잔혹사' 깨고 사상 첫 연임 성공,Social
160,서울시장 표차 5만3465표… 법조계 “투표용지 부족에도 선거무효 인정 어려워”,Social
161,"임형주 율촌 변호사, 지식재산·개인정보 분야 최고의 변호사",Social
162,후보자 폭행에 물병 세례도…'선거 범죄' 4100여명 수사 속도,Social
163,"“군대는 연장, 임신·출산은 안된다”…변시 5년 제한 형평성 논란",Social
164,"""총알받이로 쓰지 마라…모자란 집단"" 선관위 저격한 공무원",Social
165,"""날씬한데 어떻게 처방?""...'위고비 성지' 논란에 전문가 경고 [지금이뉴스]",Social
166,"울릉군, 사상 첫 민주당 군의원 탄생…세 명 초선 의원 입성",Social
167,전원 국민의힘서 4대3 구도로… 영양군의회 지형 변화 주목,Social
168,"'투표용지 부족' 사태, 법적 쟁점은?'...후보자 소송·손배 가능성도",Social
169,선거 끝나도 남은 '15% 장벽'…후보들 선거비 정산 돌입,Social
170,[르포]선거 끝났는데…거리 채운 폐현수막 어디로 가나 봤더니,Social
171,"투표율 61% 기록한 날, 112엔 신고 399건 쏟아졌다",Social
172,"[6·3 재보궐선거] 청와대 출신 3인방, 여의도 입성",Social
173,"""질질 끌고 나뭇가지로 찰싹""…광주서 반려견 학대 수사",Social
174,"""백신이 암 치료""…'면역항암제 병용' 난치암 공략",Social
175,"온라인 쇼핑몰 '장애인 차별' 위자료 기각에 재판소원…헌재, 각하",Social
176,"경북 영천시의원 출마, 민주당 후보 전원 당선…지역 정치권 '예상밖' 호평",Social
177,"대전시민단체 ""한화에어로스페이스 폭발참사 책임자 처벌하라""",Social
178,"오세훈, 무상급식 때처럼 여소야대 직면…협치 가능할까",Social
179,"카카오 노조 ""엔터프라이즈, 경영실패 책임 노동자에 전가""",Social
180,"'국민의힘 집단 입당 의혹' 신천지 이만희, 합수본 첫 출석…묵묵부답",Social
181,새벽엔 제빵사 낮엔 이장… “운동하고 정치하고 빵 굽죠”,Social
182,"[6월 모평] 작년 불수능 여파?…EBS·입시업계 ""대체로 쉬워""(종합)",Social
183,"‘1억 공천헌금’ 강선우 의원, 보석 청구",Social
184,선관위 앞에서도 보수 단체 시위…후폭풍 이어져,Social
185,'7명 사상' 한화에어로 압수수색…폭발 원인·안전 의무 위반 규명 착수,Social
186,"‘재선 성공’ 박완수 경남지사, 업무 복귀…“실천과 성과로 보답”",Social
187,전재수 부산시정 협치 시험대…민주당 약진에도 국힘 과반,Social
188,잠실7동 투표소 대치 17시간째…투표함 이송 아직,Social
189,전북 지방선거 당선인 상당수 수사선상…'네거티브' 후폭풍,Social
190,신용한 당선인 “통합과 화합 길로” 고발 취하 시사,Social
191,"헌재 ""임신·출산해도 변호사시험 응시 5년 제한 합헌""",Social
192,"새벽까지 안갯속 승부…최기영, 봉화군수 선거 혈투 끝 승리",Social
193,"‘李 대통령 소년원설’ 모스탄, 출국정지 기각…“수사 필요”",Social
194,'삼세번'만에 이룬 46표차 초박빙 승리,Social
195,"""노인과 바다 오명 벗길""…전재수 당선에 부산 시민 ""기대""",Social
196,'외신에 계엄 옹호 입장 배포' 전 부대변인 감봉 취소 소송 시작,Social
197,"강원교육감 낙선 후보들 ""도민 선택 겸허히 수용""",Social
198,오세훈 5선 고지 올랐으나 서울시의회는 민주당 석권,Social
199,"김태석 부산 사하구청장 ""말아닌 행정결과로 증명할 것""[당선인 인터뷰]",Social
200,2천표 가둔 ‘부정선거론 행패’…선관위 직원 잡고 밀치며 “재투표”,Social
201,"법원, 금양 ‘상장폐지 효력정지’ 가처분 24일 심문",Social
202,"‘대역전극’ 오세훈, 바로 서울시장 업무 복귀해 GTX 먼저 챙겼다···‘강북전성시대’도 속도",Social
203,"대법·헌재, 재판소원 기록 공유 해법 찾는다…내주 실무 협의(종합)",Social
204,홈플러스 37개 점포 결국 폐점… 3000명 사실상 실직 수순,Social
205,전남 시장·군수 지선 결과 2년 뒤 총선에 영향 미치나,Social
206,2027학년도 6월 모평 작년 수능보다 쉬워… ‘사탐런’ 반드시 유리한 것 아냐,Social
207,"'이주 노동자 폭행' 섬유공장 대표 영장심사 출석‥""죄송하다""",Social
208,‘투표용지 부족’ 사태 대치 계속…이 시각 잠실7동 제2투표소,Social
209,"EBS ""6월모평 영어, 작년수능보다 쉬워"" 학원가 ""그래도 어려워""(종합)",Social
210,"젠슨 황, 7개월 만에 방한…재계 총수들과 연쇄 회동",Social
211,"""공장 터트리고 저승으로 도망? 유족들이 배상해야""…한화에어로 주주 막말 논란",Social
212,"전한길, 吳 당선에도 ""선거 무효""…점령 당한 잠실 투표소",Social
213,‘민주당’에 표 몰아준 제주…압승 예상 투표율은 전국 최하위,Social
214,"'선거 범죄' 수사 본격화…경찰, 4천여명 적발·260여명 송치(종합)",Social
215,"참여연대, '투표용지 부족 사태' 맹비판…'부정선거 의혹'엔 거리두기",Social
216,"이원택 ""김관영 지사 만날 것…송영길 발언은 해당 행위""",Social
217,"허경영, 세 번째 보석 청구...""냄새 민감해 추행 못해""",Social
218,삼성바이오 '쟁의행위금지' 항고심…범위 확대 촉각,Social
219,바뀌는 부산시장…글로벌허브도시 대신 해양수도 띄울까,Social
220,똥꿈 꿨더니 대박…5억 복권 당첨됐다,Social
221,[화제의 당선인]최연소 서울시의원 31세 이광희…최고령 72세 김기덕·양평호,Social
222,"금양 '상장폐지 효력 정지' 가처분, 오는 24일 심문기일",Social
223,택시기사 기지로 1억4000만원 피싱 피해 막아,Social
224,"변시 '오탈제' 또 합헌이지만… 헌재 과반 ""임신·출산 예외 둬야""",Social
225,"김영훈 장관, 한화에어로 사고에 ""그간 방산업체 외부 감시·견제 소홀""",Social
226,잠실 7동 주민들의 피해는 누가 보상하나 [현장메모],Social
227,"'나번'도, '무소속'도 생환…천안·아산시의원, 감격의 당선",Social
228,"아들 상견례 앞두고 떠난 아버지, 장기기증으로 4명 살려 [따뜻했슈]",Social
229,“‘내란 동조’ 박덕흠 국회부의장 선출 반대” 부마단체 2차 성명,Social
230,"노동장관, 한화에어로 재발방지 지시…사고 반복 사업장 감독",Social
231,"다시 진보 교육감 시대 열렸다...'경기·강원·제주', 현직 이겼다",Social
232,제천 고교서 1학년 학생 흉기 휘둘러…동급생 부상,Social
233,권순기 막판 대역전극으로 경남교육감 당선,Social
234,"인천 외국인 노동자 상습 폭행 공장주…""죄송합니다""",Social
235,[6·3 지선] 김해시장 선거 '투표율 54％ 이상=민주 후보 승리' 공식 재확인,Social
236,'박근혜가 통했다'…대구시장 선거 결과 '영향력' 입증,Social
237,"李, 투표용지 부족 사태에 ""매우 큰 유감...문제 발생 이유 명확히 밝혀야""",Social
238,"홈플러스 휴업 점포 37곳, 영업 재개 없이 접는다",Social
239,"대낮 음주 운전한 20대, 시내버스와 ‘쾅’… 경찰 입건",Social
240,"밀물 차오르는 갯벌 고립된 2명, 신고 33분 만에 생환",Social
241,광주·전남 지방의회 여성 비중 30% 돌파…청년은 후퇴,Social
242,"[당선인 인터뷰] 서태경 부산 사상구청장 ""살고 싶은 사상 만들겠다""",Social
243,"‘여당 후보론’ 민주, 광주전남 통합의회 석권…단체장도 선방",Social
244,세종 첫 여성교육감 강미애…“교육 때문에 선택하는 도시로 만들 것”,Social
245,원주시장 선거 사전투표가 승패 갈랐다,Social
246,"검찰, 회삿돈 자녀 유학비로 사용 의혹 BBQ 회장 불기소",Social
247,"서울시의원 118명 당선…민주당 81명, 국민의힘 37명",Social
248,"[6월 모평] ""영어, 작년 '불수능'보단 쉬웠지만 일부 변별력""(종합)",Social
249,"공약 믿고 찍었다가 실망...""정신적 고통 책임져"" 실제 소송 결과 어땠나",Social
250,국회의원에서 기초의원으로…손혜원 목포시의원 당선 [이색 당선인],Social
251,"“내년이면 80인데, 수술 완치도 안돼”…허경영, 법원에 세 번째 보석 청구",Social
252,"서울시의회, 6·3 지방선거 서울시의원 당선인 현황",Social
253,[영상] 뚜껑이 '쾅' 깊은 맨홀에 갇힌 여성…아무도 못 봤다면?,Social
254,충북 제천 한 고등학교서 동급생에게 흉기 휘두른 1학년 재학생 체포,Social
255,사업 선정 청탁받고 공무원에 돈가방 전달한 전 도의원 '집행유예',Social
256,서울교육감 선거 끝났지만…고소고발·정책 실종 등 한계,Social
257,투표용지 부족 사태 후폭풍…도마 오른 선관위 선거 관리,Social
258,"법정으로 가는 '투표용지 사태'…""선거 무효"" 주장, 실현 가능성은",Social
259,신천지 이만희 첫 소환…'집단 입당 의혹' 묵묵부답,Social
260,"EBS ""6월 모평 영어, 작년 수능보다 쉬워…수험생 시험부담↓""",Social
261,"'1억 공천 헌금' 강선우, 보석 청구",Social
262,"5년만에 '권력 교체' 앞둔 부산시, 조직개편 예고에 긴장",Social
263,한덕수 '내란 가담' 사건 상고심 대법 2부 배당…주심 오경미,Social
264,"""총알받이로 쓰지 마라""…선관위 저격한 송파구 공무원",Social
265,'공천 헌금' 혐의 강선우 의원 보석 신청…기일 미정,Social
266,"경기북부 단체장, 민주 6곳·국힘 4곳 당선",Social
267,"'외국인 근로자 폭행' 인천 섬유공장 대표 영장심사…""죄송""",Social
268,"시민단체, '김건희 무혐의' 檢수사심의위 명단 공개소송 패소",Social
269,"민주, 전북 사실상 독식…무소속·조국혁신당, 벽 못 넘어",Social
270,"오세훈, 복귀 후 첫 일정은 안전점검…""서소문 사고 유가족께 위로""",Social
271,"""저 차 와이라노, 술 무긋나"" 부산 커플 추격...음주운전자 잡았다",Social
272,민주당 전북지역 단체장 '싹쓸이'…일당독주 가속,Social
273,‘초박빙’ 부산시장 선거서 웃은 전재수…‘낙동강벨트’서 승기,Social
274,경북도의회 새 의장 누가 되나…다선 의원들 물밑 경쟁,Social
275,"""나뭇가지·주먹 맞으며 끌려다녀""...광주 반려견 학대 경찰 수사",Social
276,"'진보' 정근식, 서울시 교육감 당선…재선 성공(종합)",Social
277,경창산업 창업주 고 손기창 명예회장 별세,Social
278,"친구 음료에 수면제 탄 20대들, 안 통하자 1300만원 금목걸이 들고 튀었다",Social
279,"“민주당이 진 선거, 창피해”…남배우, 결과에 일침",Social
280,아들 상견례 앞두고 쓰러진 아버지… 장기 기증으로 4명에게 새 삶,Social
281,침묵한 이만희…‘신천지 국민의힘 가입 의혹’ 첫 피의자 조사,Social
282,제12대 서울시의원 118명 당선…민주 81석·국힘 37석,Social
283,"내란특검, ‘한덕수 재판 위증’ 尹 1심 무죄 불복해 항소",Social
284,44표 역전극부터 80% 압승까지…지방선거 빛낸 ‘이색 기초단체장’,Social
285,[6·3 지선] 8대17→17대8…4년만에 서울 구청장 지형 반전(종합),Social
286,"'쉬었음 청년' 10명 중 6명 ""조건 맞으면 당장 일하겠다""",Social
287,"대법원, '재판소원 1호' 녹십자 사건 답변서 헌재 제출 않기로",Social
288,"민주당, 서울시의회 81석 확보…시장 재의요구권 무력화 가능",Social
289,"""장난 아닌 범죄""…끊이지 않는 스와팅, 사회 불안 키운다",Social
290,"종합특검, '관저 이전' 이상민·'반란' 김용현 피의자 조사",Social
291,'투표 중단' 항의 시위 계속...이 시각 중앙선관위,Social
292,폴리마켓서 오세훈 당선 맞힌 이용자...2억4000만원 수익 '대박' [지금이뉴스],Social
293,"조상호 세종시장 당선자 ""행정수도특별법 처리 사활… 올가을 적기""",Social
294,다시 진보교육감 시대…민주시민교육·학생인권조례 탄력 예상(종합),Social
295,"""선배들이 든 언론자유 횃불, 후배들이 현장서 이어받길""",Social
296,"""사업 선정 도와줘"" 공무원에 돈가방 전달 前도의원 징역형 집유",Social
297,"'사기·준강제추행' 허경영, 법원에 세 번째 보석 청구",Social
298,"[당선인 인터뷰] 4년 만에 탈환 정명희 ""26만 북구 구민 모두의 구청장 될 것""",Social
299,같은 빌라 이웃 부녀 둔기로 무차별 폭행…60대 구속 갈림길,Social
300,전북 도백대전 혈투 끝났지만 고발사건 산적…수사 주목,Social
301,당진 철판 제조 공장서 70대 근로자 숨져…철판 무너져 깔려,Social
302,"이만희, ‘국민의힘 집단 가입 의혹’ 피의자 조사 출석···취재진 질문에 ‘묵묵부답’",Social
303,"경실련 ""중앙정치 대리전 전락…투표용지 부족, 진상규명 필요""",Social
304,생활비 때문에…출소하자마자 또 상가 턴 20대 구속영장,Social
305,"'당원 강제 가입 의혹' 이만희 신천지 총회장, 합수본 첫 출석…묵묵부답",Social
306,"""당선이고 낙선이고 원천 무효""…전한길, 선관위서 부정선거 시위",Social
307,가짜 진료·가짜 환자 잡는다…2년 멈췄던 건보 기획조사 재개,Social
308,"박용선 포항시장 당선인, 첫 행보는 포스코 장인화 회장 회동 “상생 협력”",Social
309,다음주 더위 한 풀 꺾여…종종 소나기도,Social
310,"법원, '상장폐지 결정' 금양 효력정지 가처분 24일 심문",Social
311,"충남 표심 ‘크로스보팅’ 뚜렷… 도지사 따로, 시장·군수 따로 왜?",Social
312,"‘공천 헌금’ 전면 부인한 강선우 의원, 보석 청구",Social
313,우상호 “통합과 실사구시로 특별한 강원도 열겠다”,Social
314,오세훈 새벽 대역전극…'한강벨트'가 운명 갈랐다,Social
315,[데스크칼럼] 청주시민은 또 시장을 바꿨다,Social
316,"[6·3 지선] ""투표자 급증해서…"" 인천선관위, 투표용지 부족사태 사과",Social
317,당진 철판 제조 공장서 70대 근로자 사망…철판 무너지며 깔려,Social
318,이재명 정부 출범 1년 만에… 보이스피싱 피해액 48% 줄었다,Social
319,도대체 왜?…제천서 동급생에 '흉기' 휘두른 고교생 체포,Social
320,"사상 초유 '투표용지 부족' 사태…유권자들, 국가배상 등 법적 대응 가능",Social
321,"대법, 한덕수 내란 사건 상고심 배당…주심 오경미 대법관",Social
